x,y,species cloglog values
1.0,1.0,0.6319602
2.0,2.0,0.6319602
3.0,3.0,0.6319602
4.0,4.0,0.62330157
5.0,5.0,0.6319602
6.0,6.0,0.6319602
7.0,7.0,0.6319602
8.0,8.0,0.6319602
9.0,9.0,0.6319602
10.0,10.0,0.6319602
11.0,11.0,0.6319602
12.0,12.0,0.6319602
13.0,13.0,0.6319602
14.0,14.0,0.6319602
15.0,15.0,0.6319602
16.0,16.0,0.6319602
17.0,17.0,0.6319602
18.0,18.0,0.6319602
19.0,19.0,0.6319602
20.0,20.0,0.6469464
21.0,21.0,0.62330157
22.0,22.0,0.6319602
23.0,23.0,0.6319602
24.0,24.0,0.6319602
25.0,25.0,0.6319602
26.0,26.0,0.6319602
27.0,27.0,0.6319602
28.0,28.0,0.6319602
29.0,29.0,0.6319602
30.0,30.0,0.6319602
31.0,31.0,0.6319602
32.0,32.0,0.62330157
33.0,33.0,0.6319602
34.0,34.0,0.6319602
35.0,35.0,0.6319602
36.0,36.0,0.6319602
37.0,37.0,0.6319602
38.0,38.0,0.62330157
39.0,39.0,0.6319602
40.0,40.0,0.6319602
41.0,41.0,0.59380126
42.0,42.0,0.6319602
43.0,43.0,0.6319602
44.0,44.0,0.6319602
45.0,45.0,0.62330157
46.0,46.0,0.6319602
47.0,47.0,0.6319602
48.0,48.0,0.6319602
49.0,49.0,0.5807796
50.0,50.0,0.6555937
51.0,51.0,0.6319602
52.0,52.0,0.6555937
53.0,53.0,0.6319602
54.0,54.0,0.6319602
55.0,55.0,0.6319602
56.0,56.0,0.6319602
57.0,57.0,0.6319602
58.0,58.0,0.6319602
59.0,59.0,0.59380126
60.0,60.0,0.62330157
61.0,61.0,0.6319602
62.0,62.0,0.6319602
63.0,63.0,0.6319602
64.0,64.0,0.6319602
65.0,65.0,0.62330157
66.0,66.0,0.6555937
67.0,67.0,0.62330157
68.0,68.0,0.6319602
69.0,69.0,0.6319602
70.0,70.0,0.6319602
71.0,71.0,0.62330157
72.0,72.0,0.62330157
73.0,73.0,0.6555937
74.0,74.0,0.6319602
75.0,75.0,0.6319602
76.0,76.0,0.55112916
77.0,77.0,0.6319602
78.0,78.0,0.6319602
79.0,79.0,0.62330157
80.0,80.0,0.62330157
81.0,81.0,0.6319602
82.0,82.0,0.6319602
83.0,83.0,0.6319602
84.0,84.0,0.6319602
85.0,85.0,0.62330157
86.0,86.0,0.6319602
87.0,87.0,0.62330157
88.0,88.0,0.6319602
89.0,89.0,0.6319602
90.0,90.0,0.6319602
91.0,91.0,0.62330157
92.0,92.0,0.6319602
93.0,93.0,0.6319602
94.0,94.0,0.6319602
95.0,95.0,0.6319602
96.0,96.0,0.62330157
97.0,97.0,0.6319602
98.0,98.0,0.62330157
99.0,99.0,0.6319602
100.0,100.0,0.6319602
