Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.28213E-4,0.06282127,0.514202674,1,0,0
6.80788E-4,0.19372134,0.542686035,0.99826087,0,0
6.97003E-4,0.331500451,0.551129155,0.996521739,0,0
7.56467E-4,0.685948437,0.580779615,0.992173913,0.001694915,0
7.56467E-4,0.912888661,0.580779615,0.988695652,0.001694915,0
7.83924E-4,1.527261874,0.593801248,0.982608696,0.005084746,0
8.06695E-4,3.254172027,0.604293318,0.963478261,0.016949153,0
8.49531E-4,3.581133685,0.623301569,0.96,0.016949153,0
8.69765E-4,16.071261811,0.631960218,0.832173913,0.120338983,0
9.05938E-4,86.438883297,0.646946341,0.128695652,0.83559322,0
9.27516E-4,89.611823899,0.655593678,0.09826087,0.866101695,0
